Mario Ortiz
Leonidas Kampantais
Zouhair Feddal
David López
Rafinha
Gerard Deulofeu
Derik Osede
Jorge Ortí
Dinu Moldovan
Josh Pritchard
Marcello Trotta
Alexandru Maxim
Chuli
Lion Kaak
Akwasi Asante
Steven Berghuis
Sergey Chernik
Bertrand Laquait
Guillaume Hubert
Joris Kayembe
Dennis Praet
Julien De Sart
Junior Malanda
Ezgjan Alioski
Laurent Macquet
Alessio Grea
Luca Miracoli
Alessio De Bode
Charlie Austin
Javi López
Jeremy Toljan
Cheick Doukouré
Ryo Miyaichi
Gaku Shibasaki
Víctor Rodríguez
Gilbert Bayiha N'Djema
Nicolas Esceth-N'Zi
Cristian Battocchio
Molla Wagué
Hyun-jun Suk
Slobodan Komljenovic
Stefan Reuter
Carsten Rothenbach
Pajtim Kasami
David Oberhauser
Jordan Pickford
Giuseppe Rizzo
Logan Bailly
Daniel Alfei
Sandro Wieser
Igor de Camargo
Gustavo Méndez
Fabián O'Neill
Gianmario Comi
Luca Belcastro
Filippo Boniperti
Roberto Crivello
Andrea De Vito
Vittorio Ferrero
Hördur Magnússon
Nnamdi Oduamadi
Simone Verdi
Alessandro Florenzi
Mattia Montini
Stefano Pettinari
Andrea Doninelli
Niccolò Romero
Óscar Torres
Arthur Boka
Daniel Cappelletti
Jerry Mbakogu
Antonio Santurro
Nicola Canzian
Abel Gigli
Gianluca Lapadula
Christian Monacizzo
Renato Facheris
Boubacar Copa
Enrico Verachi
Bertrand Crasson
Marco Cuomo
Alfredo Donnarumma
Alessandro Malafronte
Francesco Nicastro
Riccardo Regno
Cristian Suarino
Giacomo Tattini
Jonas De Roeck
Francesco Cigardi
Riffi Mandanda
Emmanuel Eboué
Carl Hoefkens
Nordin Jbari
George Francomb
Giannelli Imbula
Stuart Armstrong
Jonathan Bond
Yaya Touré
Maxime Bourgeois
Lars Ricken
Gilles Yapi
Francesco Acerbi
Diego Reyes
Salvador Ichazo
Stiven Mendoza
Jeison Murillo
Gastón Brugman
Juan Agudelo
Ezequiel Cirigliano
Bruno Alves
Nicolás Tagliafico
Joel Campbell
Choco Lozano
